Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
HA,11-11-2017,0051,N361HA,HNL,10:00,09:57,670,705,-3,10:15,18,32,0,0,0,0
HA,11-11-2018,0051,N378HA,HNL,10:00,09:53,675,690,-7,10:11,18,0,0,0,0,0
HA,11-11-2019,0051,N379HA,HNL,10:00,09:54,675,675,-6,10:04,10,0,0,0,0,0
HA,11-11-2021,0051,N384HA,HNL,10:00,10:18,670,655,18,10:35,17,0,0,0,0,0
HA,11-11-2022,0051,N385HA,HNL,10:00,09:53,665,656,-7,10:13,20,0,0,0,0,0
HA,11-12-2017,0051,N388HA,HNL,10:00,10:00,670,698,0,10:18,18,28,0,0,0,0
HA,11-12-2018,0051,N384HA,HNL,10:00,09:55,675,679,-5,10:25,30,0,0,0,0,0
HA,11-12-2019,0051,N392HA,HNL,10:00,09:53,675,661,-7,10:10,17,0,0,0,0,0
HA,11-12-2021,0051,N391HA,HNL,10:00,09:56,670,682,-4,10:42,46,0,0,0,0,0
HA,11-12-2022,0051,N373HA,HNL,10:00,09:59,665,658,-1,10:21,22,0,0,0,0,0
HA,11/13/2017,0051,N396HA,HNL,10:00,10:08,670,678,8,10:24,16,16,0,0,0,0
HA,11/13/2018,0051,N385HA,HNL,10:00,09:58,675,683,-2,10:17,19,0,0,0,0,0
HA,11/13/2019,0051,N392HA,HNL,10:00,10:07,675,679,7,10:27,20,0,0,0,0,0
HA,11/13/2021,0051,N395HA,HNL,10:00,09:51,670,678,-9,10:03,12,0,0,0,0,0
HA,11/13/2022,0051,N382HA,HNL,10:00,10:23,665,653,23,10:39,16,0,0,0,0,0
HA,11/14/2018,0051,N393HA,HNL,10:00,10:01,675,0,1,10:18,17,0,0,0,0,0
HA,11/14/2019,0051,N374HA,HNL,10:00,09:54,675,663,-6,10:15,21,0,0,0,0,0
HA,11/14/2021,0051,N383HA,HNL,10:00,09:58,670,655,-2,10:10,12,0,0,0,0,0
HA,11/14/2022,0051,N386HA,HNL,10:00,09:57,665,666,-3,10:17,20,0,0,0,0,0
HA,11/15/2017,0051,N399HA,HNL,10:00,09:55,670,706,-5,10:09,14,31,0,0,0,0
HA,11/15/2018,0051,N395HA,HNL,10:00,10:11,675,664,11,10:37,26,0,0,0,0,0
HA,11/15/2019,0051,N386HA,HNL,10:00,10:00,675,659,0,10:17,17,0,0,0,0,0
HA,11/15/2021,0051,N391HA,HNL,10:00,09:52,670,676,-8,10:10,18,0,0,0,0,0
HA,11/15/2022,0051,N396HA,HNL,10:00,09:58,665,688,-2,10:22,24,21,0,0,0,0
HA,11/16/2017,0051,N361HA,HNL,10:00,10:11,670,699,11,10:37,26,40,0,0,0,0
HA,11/16/2018,0051,N389HA,HNL,10:00,10:01,675,703,1,10:35,34,29,0,0,0,0
HA,11/16/2019,0051,N393HA,HNL,10:00,09:56,675,642,-4,10:18,22,0,0,0,0,0
HA,11/16/2021,0051,N382HA,HNL,10:00,09:55,670,692,-5,10:14,19,17,0,0,0,0
HA,11/16/2022,0051,N373HA,HNL,10:00,10:20,665,659,20,10:38,18,0,0,0,0,0
